pot_number,original_number,tomb,cemetery,cem_condensed,shape,additional,open_closed,height,diamter,rim_diameter,period,date_range,start_date,end_date,ave_date,century,tomb_century,tomb_period,import,import_origin,imitation,imitation_origin,antique,1100,1090,1080,1070,1060,1050,1040,1030,1020,1010,1000,990,980,970,960,950,940,930,920,910,900,890,880,870,860,850,840,830,820,810,800,790,780,770,760,750,740,730,720,710,700,690,680,670,660,650,640,630,620,610
40,,VI,FOR,FOR,Stirrup jar,,C,18.5,12.5,,SM-LPG,1100-840,1100,840,970,10th,10th,PG,,,,,,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,,VI,FOR,FOR,Krateriskos,,O,17.2,,10,EPG,970-920,970,920,945,10th,10th,PG,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,,VI,FOR,FOR,Jar,Straight-sided jar,C,20,14,8.5,EPG,970-920,970,920,945,10th,10th,PG,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,,VI,FOR,FOR,Amphora,,C,51,32,16,EPG-LPG,970-840,970,840,905,10th,10th,PG,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,,VI,FOR,FOR,Pithos,Coarse pithos,C,41,36,,PG-EO,970-670,970,670,820,9th,10th,PG,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0,0,0,0,0,0,0
45,,VI,FOR,FOR,Krater,Bell krater,C,40.5,,33,PG,970-810,970,810,890,9th,10th,PG,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,,VI,FOR,FOR,Unidentified,,,,,,,,,,,,10th,PG,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,,VI,FOR,FOR,Kalathos,,O,8.5,,19,SM-LPG,1100-840,1100,840,970,10th,10th,PG,,,,,,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,,VI,FOR,FOR,Krateriskos,,O,16,,9,EPG,970-920,970,920,945,10th,10th,PG,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,,VI,FOR,FOR,Askos,Duck askos,C,,20,,PG,970-810,970,810,890,9th,10th,PG,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,,VI,FOR,FOR,Skyphos,,O,9,,13.5,PG,970-810,970,810,890,9th,10th,PG,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,,VI,FOR,FOR,Jar,Straight-sided jar,C,17,12,,EPG,970-920,970,920,945,10th,10th,PG,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,,VI,FOR,FOR,Kalathos,,O,7,18.5,,SM-LPG,1100-840,1100,840,970,10th,10th,PG,,,,,,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,,VI,FOR,FOR,Skyphos,,O,9,,13.5,PG,970-810,970,810,890,9th,10th,PG,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,,VI,FOR,FOR,Kalathos,,O,6.5,14,,SM-LPG,1100-840,1100,840,970,10th,10th,PG,,,,,,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,,VI,FOR,FOR,Cup,,O,13.3,,11.3,SM-LPG,1100-840,1100,840,970,10th,10th,PG,,,,,,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,,VI,FOR,FOR,Skyphos,Skyphos on foot,O,13.7,,14.5,EPG,970-920,970,920,945,10th,10th,PG,Y,Attica,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,,VI,FOR,FOR,Jar,Jar w/ miniature cup on handle,C,16,,17,,,,,,,10th,PG,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
